Trending Percent,Response Score,City,Country,Public Health Capacity,Societal Strength,Economic Ability,Infrastructure,Collaborative Will,Spread Response,Treatment Response,Economic Response,Supply Chain Response
7.12412,46.0,Omdurman,Sudan,42,37,34,64,37,85.0,,21.0,18.0
6.9557,45.0,Kassel,Germany,0,0,0,0,0,47.0,43.0,,
6.95479,60.0,Regensburg,Germany,0,0,0,0,0,45.0,75.0,,
6.62745,49.0,Rosenheim,Germany,0,0,0,0,0,34.0,65.0,,
6.35276,43.0,Maceio,Brazil,71,59,54,88,40,30.0,44.0,35.0,69.0
6.22003,44.0,Nuevo Casas Grandes,Mexico,0,0,0,0,0,66.0,22.0,,
6.10879,48.0,Sao Jose dos Campos,Brazil,71,67,54,88,40,24.0,66.0,35.0,69.0
6.07343,44.0,San Salvador,El Salvador,56,60,48,0,42,62.0,23.0,38.0,54.0
6.06357,35.0,Detroit,United States,71,75,81,94,58,26.0,25.0,30.0,72.0
6.06238,44.0,Tallinn,Estonia,78,71,77,93,56,22.0,,42.0,76.0
6.04176,43.0,Puerto Vallarta,Mexico,0,0,0,0,0,65.0,21.0,,
5.98743,65.0,Faridabad,India,22,57,35,78,67,67.0,81.0,29.0,72.0
5.98743,65.0,Hisar,India,22,62,35,75,67,67.0,81.0,29.0,72.0
5.91261,35.0,Soledad,Colombia,56,71,55,87,50,25.0,25.0,39.0,62.0
5.7255,28.0,Cananea,Mexico,0,0,0,0,0,31.0,24.0,,
5.63225,32.0,Azul,Argentina,0,0,0,0,0,32.0,32.0,,
5.38688,44.0,Teresina,Brazil,71,66,54,88,40,21.0,54.0,35.0,69.0
5.38655,65.0,Thunder Bay,Canada,0,0,0,0,0,61.0,68.0,,
5.35019,51.0,Asuncion,Paraguay,55,60,49,84,43,46.0,,33.0,76.0
5.26693,66.0,Trancas,Argentina,0,0,0,0,0,51.0,80.0,,
5.17988,54.0,Delhi,India,42,57,39,78,67,41.0,68.0,37.0,72.0
5.17988,53.0,New Delhi,India,42,57,35,80,67,41.0,68.0,29.0,72.0
5.11917,43.0,Salvador,Brazil,71,60,55,88,40,29.0,44.0,36.0,69.0
5.08245,62.0,Shimla,India,22,58,35,78,67,70.0,68.0,29.0,72.0
5.08149,31.0,Chemnitz,Germany,0,0,0,0,0,36.0,26.0,,
4.98499,55.0,Sarnia,Canada,0,0,0,0,0,52.0,58.0,,
4.9272,59.0,Ahmedabad,India,41,58,35,78,67,59.0,71.0,29.0,72.0
4.9272,59.0,Bhavnagar,India,22,58,35,78,67,59.0,71.0,29.0,72.0
4.9272,59.0,Gandhinagar,India,22,61,35,78,67,59.0,71.0,29.0,72.0
4.9272,59.0,Rajkot,India,22,57,35,78,67,59.0,71.0,29.0,72.0
4.9272,59.0,Surat,India,22,52,35,78,67,59.0,71.0,29.0,72.0
4.9272,59.0,Vadodara,India,22,58,35,78,67,59.0,71.0,29.0,72.0
4.88196,34.0,Aschaffenburg,Germany,0,0,0,0,0,42.0,25.0,,
4.85724,51.0,Akola,India,22,62,35,71,67,54.0,49.0,29.0,72.0
4.85724,51.0,Amravati,India,22,61,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Aurangabad,India,41,58,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Bhiwandi,India,22,58,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Chandrapur,India,22,62,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Kalyan,India,41,59,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Kolhapur,India,22,61,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Malegaon,India,22,61,35,78,67,54.0,49.0,29.0,72.0
4.85724,52.0,Mumbai,India,41,55,37,77,67,54.0,49.0,33.0,72.0
4.85724,51.0,Nagpur,India,41,57,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Nanded,India,22,60,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Nashik,India,41,60,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Pune,India,41,58,35,77,67,54.0,49.0,29.0,72.0
4.85724,51.0,Sangli,India,22,62,35,78,67,54.0,49.0,29.0,72.0
4.85724,51.0,Solapur,India,22,59,35,78,67,54.0,49.0,29.0,72.0
4.83767,79.0,Goya,Argentina,0,0,0,0,0,75.0,82.0,,
4.76581,48.0,Joinville,Brazil,71,66,54,88,40,12.0,80.0,35.0,69.0
4.73943,54.0,Sarajevo,Bosnia and Herzegovina,74,74,58,88,43,34.0,67.0,44.0,78.0
4.68321,40.0,Cafayate,Argentina,0,0,0,0,0,39.0,40.0,,
4.66215,48.0,Quetzaltenango,Guatemala,43,54,44,75,42,62.0,25.0,37.0,72.0
4.61319,71.0,Islamabad,Pakistan,16,48,54,80,51,58.0,81.0,,74.0
4.59555,47.0,Baltimore,United States,70,74,83,94,58,32.0,53.0,34.0,72.0
4.46661,32.0,Flint,United States,0,0,0,0,0,24.0,40.0,,
4.46542,49.0,Hartford,United States,76,81,90,94,58,2.0,80.0,,72.0
4.31301,42.0,Tampico,Mexico,53,65,61,61,54,47.0,23.0,37.0,67.0
4.2245,60.0,Stuttgart,Germany,86,68,86,95,56,44.0,64.0,62.0,76.0
4.21159,45.0,Cuauhtemoc,Mexico,0,0,0,0,0,70.0,21.0,,
4.14506,61.0,Sofia,Bulgaria,68,64,73,91,52,31.0,99.0,40.0,70.0
4.05133,44.0,Washington,United States,75,79,84,94,58,26.0,47.0,37.0,72.0
4.01558,48.0,Tecpan,Mexico,0,0,0,0,0,74.0,22.0,,
4.00456,42.0,Birmingham,United States,73,75,80,94,58,12.0,61.0,29.0,72.0
3.96452,35.0,Potsdam,Germany,0,0,0,0,0,45.0,25.0,,
3.95134,35.0,San Pedro,Argentina,0,0,0,0,0,45.0,25.0,,
3.94952,68.0,Nairobi,Kenya,35,45,26,80,45,63.0,100.0,23.0,74.0
3.9494,97.0,Fredericton,Canada,0,0,0,0,0,93.0,100.0,,
3.89907,72.0,Enugu,Nigeria,32,44,22,68,47,97.0,78.0,26.0,73.0
3.87742,45.0,Mannheim,Germany,0,0,0,0,0,40.0,50.0,,
3.86622,49.0,Karlsruhe,Germany,0,0,0,0,0,49.0,49.0,,
3.83323,58.0,Munich,Germany,86,68,87,95,56,40.0,59.0,64.0,76.0
3.7818,51.0,Houston,United States,71,78,84,94,58,21.0,75.0,37.0,72.0
3.74444,44.0,Tekax,Mexico,0,0,0,0,0,64.0,25.0,,
3.71828,70.0,Kavaratti,India,22,57,35,78,67,71.0,97.0,29.0,72.0
3.70861,50.0,Cheyenne,United States,74,79,82,94,58,19.0,77.0,32.0,72.0
3.6583,43.0,Rio Branco,Brazil,47,66,54,88,40,23.0,49.0,35.0,69.0
3.64585,45.0,Cartagena,Colombia,56,65,55,86,50,25.0,58.0,39.0,62.0
3.641,50.0,Atlanta,United States,71,74,81,94,58,19.0,77.0,31.0,72.0
3.63175,51.0,Ascension,Mexico,0,0,0,0,0,85.0,16.0,,
3.60352,54.0,Naples,Italy,67,74,69,90,56,32.0,72.0,41.0,74.0
3.60352,55.0,Salerno,Italy,67,78,72,90,56,32.0,72.0,47.0,74.0
3.57499,49.0,Lansing,United States,71,78,82,94,58,27.0,68.0,32.0,72.0
3.55586,53.0,General Santos,Philippines,28,57,46,83,67,84.0,30.0,26.0,70.0
